Name,Comment,Date,Number of Reviews,SA,Label,Keywords
JP,Good burger in general but on occasions does have issue due to kitchen being busy.But so far best burgers in town.,21/12/2019,98,0.631927,positive,"Good burger,best burgers,occasions,issue,kitchen,town,busy.But,"
Leona Lynch,Best burgers ive ever tasted. I can see why it was voted best burger in Ireland!,13/11/2019,11,0.923408,positive,"Best burgers,Ireland,best burger,"
Anthony Cowell,Was fortunate to get a table on a extremely busy morning Service prompt and professional food was lovely burger cooked well and bun super soft Bunsen beer was great Will be back,11/11/2019,278,0.994325,positive,"busy morning Service,table,food,soft Bunsen beer,burger,bun,"
Andrew Cotter,Such a handy spot good solid burger.,18/10/2019,7,0.979483,positive,"handy spot,good solid burger,"
Laila Shwaiki,My favourite burger place in Cork. It has the nicest burgers and the best milkshakes!,10/10/2019,1,0.988411,positive,"favourite burger place,nicest burgers,Cork,best milkshakes,"
Shamil Ataev,Simply the best burger joint in Ireland period! Have been to the one in Dublin and this one in Cork is exactly the same in terms of taste. The burgers are so juicy and delicious. The double cheeseburger is an absolute must! ,29/09/2019,31,0.863065,positive,"best burger joint,Dublin,double cheeseburger,Cork,burgers,absolute must,Ireland period,terms of taste,"
John Foley,Burgers are nice and prices are within the norm. The chips are good. I like crispy well cook chips some people might not.,29/09/2019,93,0.926615,positive,"crispy well cook,Burgers,chips,prices,norm,people,"
Margaret Smith,Burgers done brilliantly. Lovely staff. Great for a big party,29/09/2019,10,0.998553,positive,"Lovely staff,big party,Burgers,"
Cartoon Boys,Pricey for burgers but even my kids eat the meat!,24/09/2019,18,0.782223,positive,"burgers,kids,meat,"
Cl.Wi.,The burgers are not at all bad! If you visit the city you should definitely swing by! Price range is between 6-8 Euros and the fries are excellent.,23/09/2019,9,0.680986,positive,"Price range,Euros,burgers,city,fries,swing,"
Craig Elliott,Home of the good burger. Always go double,22/09/2019,44,0.83315,positive,"Home of the good burger,"
Nigel J Russell,Great place to pop into,22/09/2019,517,0,neutral,"Great place,pop,"
Domagoj Valic,Best burgers,22/09/2019,5,-0.292562,negative,"Best burgers,"
