Name,Comment,Date,Number of Reviews,SA,Label,Keywords
Stephen Fletcher,Great food tasty chips,28/09/2019,72,0.803543,positive,"Great food,tasty chips,"
debbie cronin,Chicken Avo is one of my favourites The fries are out of this world Wash it all down with a yummy milk shake Staff are welcoming and very efficient Best burgers and fries Check it out,22/09/2019,1,0.995565,positive,"Chicken Avo,yummy milk shake Staff,world Wash,fries,favourites,efficient Best burgers,"
Roisin Moore,SO DELICIOUS. Many options for vegetarians/vegans and gluten free buns! Chips are divine too love this place my favourite burgers by far,13/09/2019,9,0.996043,positive,"Chips,free buns,favourite burgers,options,vegetarians,vegans,gluten,place,"
Katie Grace,One of my favourite burger places in cork beats son of a bun anyday always get the alez le blue and the flavour is amazing the jam sounds so weird at first but the taste is amazing :) highly recommend,06/09/2019,7,0.9755,positive,"favourite burger places,son of a bun anyday,alez le blue,cork,flavour,jam,taste,"
Christophe VAULLEGEARD,Good food and great service provided ,06/09/2019,10,0.901463,positive,"Good food,great service,"
Kieran McCarthy,Best burger I have tried in Cork City! Very impressed with the food. Chips were so tasty burgers even more so and the staff were really friendly. Certainly coming back!,27/08/2019,5,0.990356,positive,"Best burger,Cork City,Chips,burgers,staff,food,"
Mina Michel,One of the best burger places in cork and rhe closet to my heart I define this place with the word juicy!! The burger is very juicy with the most awesome taste you will jave tvey have a variety of burgers there along with the cheese and bacon fries it is finger lickin good!! I recommemd this place for all,27/08/2019,9,0.845331,positive,"best burger places,awesome taste,variety of burgers,rhe closet,burger,cork,heart,cheese,place,bacon fries,word,finger lickin,tvey,"
Gabriel G. Casta��,Very nice burgers that you can also build yourself by ingredients. Big portions of chips are the best!,22/08/2019,59,0.935658,positive,"Big portions of chips,nice burgers,ingredients,"
Athina Lymperi,"Big portions but in my opinion a bit overrated and expensive for the customised burgers.""",21/08/2019,34,-0.621513,negative,"Big portions,opinion,bit,customised burgers,"
Caroline Perrozzi,Delicious food,20/08/2019,219,0,neutral,"Delicious food,"
Muhammad Ahmed,Great  but very expensive,14/08/2019,10,0,neutral,
Tim Crowley,Delicious. Chips are great too.,13/08/2019,6,0.902681,positive,"Chips,"
Lyna Chong,Delicious juicy burgers!,09/08/2019,24,0.930344,positive,"Delicious juicy burgers,"
Agnieszka Anonimowa,Best burgers in Cork,08/08/2019,1,0,neutral,"Best burgers,Cork,"
JP McGrath,Super burgers,01/08/2019,15,0,neutral,"Super burgers,"
Cara O'Connor,Excellent food at a fair price. Was delighted to see the Beyond Meat burger on offer. Will definitely be returning!,27/07/2019,71,0.829259,positive,"fair price,Excellent food,Beyond Meat burger,offer,"
Ronan Murphy,Nice burgers,25/07/2019,30,0,neutral,"Nice burgers,"
Karen Bermingham,Pricey but tasty,23/07/2019,4,0.92562,positive,
